Broj izvještaja,Broj naloga,Datum izdavanja,Status verifikacije,Zahtjev za verifikaciju,Metoda,Vrsta,Proizvođač,Uređaj,Serijski broj,Verifikacija ispravna,Spoljašnji pregled 1,Spoljašnji pregled 2,Spoljašnji pregled 3,Spoljašnji pregled 4,VERIFIKACIJA GREŠKE MJERILA:,1: Zadana vrijednost [ml],1: Mjerena vrijednost [ml],1: Greška mjerenja [ % ],1: Dozvoljeno odstupanje  [ ± % ],1: Usklađeno,2: Zadana vrijednost [ml],2: Mjerena vrijednost [ml],2: Greška mjerenja [ % ],2: Dozvoljeno odstupanje  [ ± % ],2: Usklađeno,3: Zadana vrijednost [ml],3: Mjerena vrijednost [ml],3: Greška mjerenja [ % ],3: Dozvoljeno odstupanje  [ ± % ],3: Usklađeno,4: Zadana vrijednost [ml],4: Mjerena vrijednost [ml],4: Greška mjerenja [ % ],4: Dozvoljeno odstupanje  [ ± % ],4: Usklađeno,5: Zadana vrijednost [ml],5: Mjerena vrijednost [ml],5: Greška mjerenja [ % ],5: Dozvoljeno odstupanje  [ ± % ],5: Usklađeno,6: Zadana vrijednost [ml],6: Mjerena vrijednost [ml],6: Greška mjerenja [ % ],6: Dozvoljeno odstupanje  [ ± % ],6: Usklađeno,VERIFIKACIJA GREŠKE MJERILA:,19: Zadana vrijednost [%],19: Mjerena vrijednost [%],19: Greška mjerenja [ % ],19: Dozvoljeno odstupanje  [ ± % ],19: Usklađeno,20: Zadana vrijednost [%],20: Mjerena vrijednost [%],20: Greška mjerenja [ % ],20: Dozvoljeno odstupanje  [ ± % ],20: Usklađeno,21: Zadana vrijednost [%],21: Mjerena vrijednost [%],21: Greška mjerenja [ % ],21: Dozvoljeno odstupanje  [ ± % ],21: Usklađeno,22: Zadana vrijednost [%],22: Mjerena vrijednost [],22: Greška mjerenja [ % ],22: Dozvoljeno odstupanje  [ ± % ],22: Usklađeno,23: Zadana vrijednost [%],23: Mjerena vrijednost [%],23: Greška mjerenja [ % ],23: Dozvoljeno odstupanje  [ ± % ],23: Usklađeno,Napomena
3901/21,3901/VL/21,2.12.2021.,Zavrsena,Ugovor br. 33-04-1754-1/20 od 15.04.2020 / Narudžbenica Novembar 2021,Komparativna,Redovna,Maquet,FLOW-i,8220,DA,DA,DA,DA,DA,Volumen,"200,00","218,00","9,00","10,00",DA,"300,00","270,00","10,00","10,00",DA,"400,00","420,00","5,00","10,00",DA,"500,00","495,00","1,00","10,00",DA,"600,00","572,00","4,67","10,00",DA,"700,00","644,00","8,00","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,24","0,24","1,00",DA,"2,00","1,78","0,22","1,00",DA,"3,00","3,18","0,18","1,00",DA,"4,00","3,58","0,42","1,00",DA,"5,00","4,17","0,83","1,00",DA,
3897/21,3897/VL/21,2.12.2021.,Zavrsena,Ugovor br. 33-04-1754-1/20 od 15.04.2020 / Narudžbenica Novembar 2021,Komparativna,Redovna,Spacelabs,BLEASE GENIUS MRI,GENI-000100,DA,DA,DA,DA,DA,Volumen,"200,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"300,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"400,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"500,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,Koncentracija anestezioloških gasova,"1,00","0,54","0,46","1,00",DA,"2,00","1,95","0,05","1,00",DA,"3,00","3,33","0,33","1,00",DA,"4,00","4,07","0,07","1,00",DA,"5,00","4,55","0,45","1,00",DA,Mjerenja po parametru pritisak se nalaze na disku!
3899/21,3899/VL/21,2.12.2021.,Zavrsena,Ugovor br. 33-04-1754-1/20 od 15.04.2020 / Narudžbenica Novembar 2021,Komparativna,Redovna,Drager,Fabius,ASHJ-0166,DA,DA,DA,DA,DA,Volumen,"200,00","192,00","4,00","10,00",DA,"300,00","280,00","6,67","10,00",DA,"400,00","371,00","7,25","10,00",DA,"500,00","464,00","7,20","10,00",DA,"600,00","555,00","7,50","10,00",DA,"700,00","649,00","7,29","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,46","0,46","1,00",DA,"2,00","1,80","0,20","1,00",DA,"3,00","2,62","0,38","1,00",DA,"4,00","3,77","0,23","1,00",DA,"5,00","4,41","0,59","1,00",DA,
3903/21,3903/VL/21,2.12.2021.,Zavrsena,Ugovor br. 33-04-1754-1/20 od 15.04.2020 / Narudžbenica Novembar 2021,Komparativna,Redovna,Heinen Lowenstein,LEON PLUS NEO,0200010HUL30908084,DA,DA,DA,DA,DA,Volumen,"300,00","294,00","2,00","10,00",DA,"400,00","369,00","7,75","10,00",DA,"500,00","478,00","4,40","10,00",DA,"600,00","566,00","5,67","10,00",DA,"700,00","655,00","6,43","10,00",DA,"800,00","731,00","8,63","10,00",DA,Koncentracija anestezioloških gasova,"1,00","0,87","0,13","1,00",DA,"2,00","1,69","0,31","1,00",DA,"3,00","2,50","0,50","1,00",DA,"4,00","3,73","0,27","1,00",DA,"5,00","4,12","0,88","1,00",DA,
3831/21,3831/VL/21,29.11.2021.,Zavrsena,Narudžbenica od 29.11.2021.,Komparativna,Redovna,Heinen Lowenstein,Leon plusneo,0200010HUL00201136,DA,DA,DA,DA,DA,Volumen,"300,00","298,00","0,67","10,00",DA,"400,00","397,00","0,75","10,00",DA,"500,00","471,00","5,80","10,00",DA,"600,00","553,00","7,83","10,00",DA,"700,00","639,00","8,71","10,00",DA,"800,00","721,00","9,88","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,51","0,51","1,00",DA,"2,00","1,53","0,47","1,00",DA,"3,00","2,60","0,40","1,00",DA,"4,00","3,74","0,26","1,00",DA,"5,00","4,04","0,96","1,00",DA,
3825/21,3825/VL/21,26.11.2021.,Zavrsena,Narudžbenica od 19.11.2021.,Komparativna,Redovna,Drager,FABIUS,ARTH0062,DA,DA,DA,DA,DA,Volumen,"200,00","190,00","5,00","10,00",DA,"300,00","278,00","7,33","10,00",DA,"400,00","368,00","8,00","10,00",DA,"500,00","458,00","8,40","10,00",DA,"600,00","558,00","7,00","10,00",DA,"700,00","632,00","9,71","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,04","0,04","1,00",DA,"2,00","2,24","0,24","1,00",DA,"3,00","2,57","0,43","1,00",DA,"4,00","3,28","0,72","1,00",DA,"5,00","4,09","0,91","1,00",DA,
3784/21,3784/VL/21,25.11.2021.,Zavrsena,Narudžbenica od 19.11.2021.,Komparativna,Redovna,GE Datex Ohmeda,Aespire,ANCN01289,DA,DA,DA,DA,DA,Volumen,"200,00","185,00","7,50","10,00",DA,"300,00","277,00","7,67","10,00",DA,"400,00","404,00","1,00","10,00",DA,"500,00","512,00","2,40","10,00",DA,"600,00","612,00","2,00","10,00",DA,"700,00","656,00","6,29","10,00",DA,Koncentracija anestezioloških gasova,"1,00","0,91","0,09","1,00",DA,"2,00","1,74","0,26","1,00",DA,"3,00","2,74","0,26","1,00",DA,"4,00","3,70","0,30","1,00",DA,"5,00","4,41","0,59","1,00",DA,
3787/21,3787/VL/21,25.11.2021.,Zavrsena,Narudžbenica od 19.11.2021.,Komparativna,Redovna,GE Datex Ohmeda,Aespire,ANCN01290,DA,DA,DA,DA,DA,Volumen,"200,00","199,00","0,50","10,00",DA,"300,00","307,00","2,33","10,00",DA,"400,00","408,00","2,00","10,00",DA,"500,00","496,00","0,80","10,00",DA,"600,00","588,00","2,00","10,00",DA,"700,00","664,00","5,14","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,16","0,16","1,00",DA,"2,00","1,97","0,03","1,00",DA,"3,00","2,63","0,37","1,00",DA,"4,00","3,42","0,58","1,00",DA,"5,00","4,36","0,64","1,00",DA,
3753/21,3753/VL/21,24.11.2021.,Zavrsena,Narudžbenica od 12.11.2021.,Komparativna,Redovna,Mindray,WATO EX - 55,ES-23000106,DA,DA,DA,DA,DA,Volumen,"200,00","205,00","2,50","10,00",DA,"300,00","289,00","3,67","10,00",DA,"400,00","382,00","4,50","10,00",DA,"500,00","522,00","4,40","10,00",DA,"600,00","619,00","3,17","10,00",DA,"700,00","678,00","3,14","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,26","0,26","1,00",DA,"2,00","1,96","0,04","1,00",DA,"3,00","2,81","0,19","1,00",DA,"4,00","3,64","0,36","1,00",DA,"5,00","4,64","0,36","1,00",DA,Preporuka: Zamjena O2 senzora/ćelije.
3754/21,3754/VL/21,24.11.2021.,Zavrsena,Narudžbenica od 02.11.2021.,Komparativna,Prva,Drager,FABIUS TIRO,ASBB-0109,DA,DA,DA,DA,DA,Volumen,"200,00","185,00","7,50","10,00",DA,"300,00","279,00","7,00","10,00",DA,"400,00","377,00","5,75","10,00",DA,"500,00","457,00","8,60","10,00",DA,"600,00","568,00","5,33","10,00",DA,"700,00","672,00","4,00","10,00",DA,Koncentracija anestezioloških gasova,"1,00","0,97","0,03","1,00",DA,"2,00","1,62","0,38","1,00",DA,"3,00","2,58","0,42","1,00",DA,"4,00","3,32","0,68","1,00",DA,"5,00","4,05","0,95","1,00",DA,Preporuka: Kalibracija/zamjena O2 ćelije/senzora.
3733/21,3733/VL/21,23.11.2021.,Zavrsena,Ugovor br. 01-1-4807-07/21 od 03.11.2021.,Komparativna,Redovna,Drager,FABIUS TIRO,ARZD-0170.,DA,DA,DA,DA,DA,Volumen,"200,00","183,00","8,50","10,00",DA,"300,00","275,00","8,33","10,00",DA,"400,00","372,00","7,00","10,00",DA,"500,00","463,00","7,40","10,00",DA,"600,00","554,00","7,67","10,00",DA,"700,00","650,00","7,14","10,00",DA,Koncentracija anestezioloških gasova,"1,00","0,95","0,05","1,00",DA,"2,00","1,89","0,11","1,00",DA,"3,00","2,95","0,05","1,00",DA,"4,00","3,73","0,27","1,00",DA,"5,00","4,55","0,45","1,00",DA,
3753/21,3753/VL/21,23.11.2021.,Zavrsena,Ugovor br. 01-1-4807-07/21 od 03.11.2021.,Komparativna,Redovna,Drager,FABIUS TIRO,-ARZD-0170,DA,DA,DA,DA,DA,Volumen,"200,00","183,00","8,50","10,00",DA,"300,00","275,00","8,33","10,00",DA,"400,00","372,00","7,00","10,00",DA,"500,00","463,00","7,40","10,00",DA,"600,00","554,00","7,67","10,00",DA,"700,00","650,00","7,14","10,00",DA,Koncentracija anestezioloških gasova,"1,00","0,95","0,05","1,00",DA,"2,00","1,89","0,11","1,00",DA,"3,00","2,95","0,05","1,00",DA,"4,00","3,73","0,27","1,00",DA,"5,00","4,55","0,45","1,00",DA,
3695/21,3695/VL/21,22.11.2021.,Zavrsena,Ugovor br. 01-1-4807-07/21 od 03.11.2021.,Komparativna,Prva,Drager,PERSEUS A500,ASNL-0115,DA,DA,DA,DA,DA,Volumen,"200,00","181,00","9,50","10,00",DA,"300,00","272,00","9,33","10,00",DA,"400,00","380,00","5,00","10,00",DA,"500,00","451,00","9,80","10,00",DA,"600,00","545,00","9,17","10,00",DA,"700,00","664,00","5,14","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,09","0,09","1,00",DA,"2,00","1,82","0,18","1,00",DA,"3,00","2,53","0,47","1,00",DA,"4,00","3,38","0,62","1,00",DA,"5,00","4,34","0,66","1,00",DA,
3696/21,3696/VL/21,22.11.2021.,Zavrsena,Ugovor br. 01-1-4807-07/21 od 03.11.2021.,Komparativna,Redovna,Drager,Primus,ARZD-0164,DA,DA,DA,DA,DA,Volumen,"200,00","199,00","0,50","10,00",DA,"300,00","271,00","9,67","10,00",DA,"400,00","377,00","5,75","10,00",DA,"500,00","472,00","5,60","10,00",DA,"600,00","568,00","5,33","10,00",DA,"700,00","647,00","7,57","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,22","0,22","1,00",DA,"2,00","1,75","0,25","1,00",DA,"3,00","2,64","0,36","1,00",DA,"4,00","3,36","0,64","1,00",DA,"5,00","4,27","0,73","1,00",DA,
3698/21,3698/VL/21,22.11.2021.,Zavrsena,Ugovor br. 01-1-4807-07/21 od 03.11.2021.,Komparativna,Redovna,Drager,PRIMUS,aRZD-0163,DA,DA,DA,DA,DA,Volumen,"200,00","182,00","9,00","10,00",DA,"300,00","274,00","8,67","10,00",DA,"400,00","364,00","9,00","10,00",DA,"500,00","472,00","5,60","10,00",DA,"600,00","545,00","9,17","10,00",DA,"700,00","634,00","9,43","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,39","0,39","1,00",DA,"2,00","2,15","0,15","1,00",DA,"3,00","3,02","0,02","1,00",DA,"4,00","3,53","0,47","1,00",DA,"5,00","4,15","0,85","1,00",DA,
3665/21,3665/VL/21,20.11.2021.,Zavrsena,Narudžbenica od 16.11.2021.,Komparativna,Redovna,GE Datex Ohmeda,9100C,ME11120279,DA,DA,DA,DA,DA,Volumen,"200,00","209,00","4,50","10,00",DA,"300,00","281,00","6,33","10,00",DA,"400,00","393,00","1,75","10,00",DA,"500,00","506,00","1,20","10,00",DA,"600,00","541,00","9,83","10,00",DA,"700,00","691,00","1,29","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,21","0,21","1,00",DA,"2,00","1,75","0,25","1,00",DA,"3,00","2,60","0,40","1,00",DA,"4,00","3,21","0,79","1,00",DA,"5,00","4,05","0,95","1,00",DA,
3635/21,3635/VL/21,19.11.2021.,Zavrsena,Narudžbenica od 15.11.2021.,Komparativna,Prva,Drager,FABIUS,ARSF-0033,NE,DA,DA,DA,DA,Volumen,"200,00","89,00","55,50","10,00",NE,"300,00","155,00","48,33","10,00",NE,"400,00","225,00","43,75","10,00",NE,"500,00","297,00","40,60","10,00",NE,"600,00","364,00","39,33","10,00",NE,"700,00","456,00","34,86","10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,66","0,34","1,00",DA,"2,00","1,68","0,32","1,00",DA,"3,00","2,37","0,63","1,00",DA,"4,00","2,44","1,56","1,00",NE,"5,00","2,29","2,71","1,00",NE,Senzor za kisik nije ispravan. Anesteziološka mašina ne postiže zadani volumen.
3636/21,3636/VL/21,19.11.2021.,Zavrsena,Narudžbenica od 15.11.2021.,Komparativna,Prva,GE,9100c NXT,SPC19260686WA,DA,DA,DA,DA,DA,Volumen,200,NIJE MJERENO,NIJE MJERENO,"10,00",DA,"300,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"400,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"500,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,Koncentracija anestezioloških gasova,"1,00",NIJE MJERENO,"0,00","1,00",DA,"2,00",NIJE MJERENO,"0,00","1,00",DA,"3,00",NIJE MJERENO,"0,00","1,00",DA,"4,00",NIJE MJERENO,"0,00","1,00",DA,"5,00",NIJE MJERENO,"0,00","1,00",DA,Izvještaj o mjerenjima po pritisku nalazi se na disku.
3643/21,3643/VL/21,19.11.2021.,Zavrsena,Narudžbenica od 16.11.2021.,Komparativna,Prva,Drager,SULA 800 U-D,785,DA,DA,DA,DA,DA,Volumen,200,NIJE MJERENO,NIJE MJERENO,"10,00",DA,"300,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"400,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"500,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,42","0,42","1,00",DA,"2,00","1,58","0,42","1,00",DA,"3,00","2,49","0,51","1,00",DA,"4,00","3,42","0,58","1,00",DA,"5,00","4,22","0,78","1,00",DA,"Verifikacija ovog uređaja izvršena je samo po parametru ""sevoflourane/sevoran"" zbog nedostatka automatskog moda mašine. Ova anesteziološka mašina posjeduje samo ručni mod ventilacije korištenjem balona."
3621/21,3621/VL/21,18.11.2021.,Zavrsena,Narudžbenica od 17.11.2021.,Komparativna,Prva,Drager,TIBERIUS,1814A,DA,DA,DA,DA,DA,Volumen,200,NIJE MJERENO,NIJE MJERENO,"10,00",DA,"300,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"400,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"500,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,05","0,05","1,00",DA,"2,00","1,75","0,25","1,00",DA,"3,00","2,70","0,30","1,00",DA,"4,00","3,32","0,68","1,00",DA,"5,00","4,09","0,91","1,00",DA,"Ovaj uređaj je verificiran samo po parametru ""sevoflourane/sevoran"" jer ne posjeduje automatski mod ventilacije. Mašina posjeduje samo mehaničku/ručnu ventilaciju sa balonom."
3532/21,3532/VL/21,15.11.2021.,Zavrsena,Narudžbenica od 15.11.2021.,Komparativna,Prva,Mindray,WATO EX-35,KG-85002415,DA,DA,DA,DA,DA,Volumen,"200,00","212,00","6,00","10,00",DA,"300,00","317,00","5,67","10,00",DA,"400,00","412,00","3,00","10,00",DA,"500,00","519,00","3,80","10,00",DA,"600,00","593,00","1,17","10,00",DA,"700,00","642,00","8,29","10,00",DA,Koncentracija anestezioloških gasova,"1,00","0,90","0,10","1,00",DA,"2,00","1,94","0,06","1,00",DA,"3,00","2,84","0,16","1,00",DA,"4,00","3,43","0,57","1,00",DA,"5,00","4,14","0,86","1,00",DA,
3497/21,3497/VL/21,8.11.2021.,Zavrsena,Narudžbenica od 05.11.2021.,Komparativna,Redovna,Heinen Lowenstein,Leon PlusNeo,0200010HUL30006904,DA,DA,DA,DA,DA,Volumen,"200,00","180,00","10,00","10,00",DA,"300,00","306,00","2,00","10,00",DA,"400,00","392,00","2,00","10,00",DA,"500,00","491,00","1,80","10,00",DA,"600,00","589,00","1,83","10,00",DA,"700,00","685,00","2,14","10,00",DA,Koncentracija anestezioloških gasova,"1,00","1,02","0,02","1,00",DA,"2,00","2,28","0,28","1,00",DA,"3,00","2,71","0,29","1,00",DA,"4,00","3,15","0,85","1,00",DA,"5,00","4,65","0,35","1,00",DA,
3388/21,3388/VL/21,22.10.2021.,Zavrsena,Narudžbenica od 19.10.2021.,Komparativna,Redovna,Drager,ATLAN A 350,ASNH-0130,DA,DA,DA,DA,DA,Volumen,"200,00","190,00","5,00","10,00",DA,"300,00","289,00","3,67","10,00",DA,"400,00","382,00","4,50","10,00",DA,"500,00","482,00","3,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,85","0,15","1,00",DA,"2,00","1,83","0,17","1,00",DA,"3,00","2,70","0,30","1,00",DA,"4,00","3,49","0,51","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3269/21,3269/VL/21,11.10.2021.,Zavrsena,Narudžbenica od 30.09.2021.,Komparativna,Redovna,Stephan,ABV-U,S1061000658,DA,DA,DA,DA,DA,Volumen,"200,00","217,00","8,50","10,00",DA,"300,00","308,00","2,67","10,00",DA,"400,00","425,00","6,25","10,00",DA,"500,00","525,00","5,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,31","0,31","1,00",DA,"2,00","1,84","0,16","1,00",DA,"3,00","2,75","0,25","1,00",DA,"4,00","3,17","0,83","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3203/21,3203/VL/21,6.10.2021.,Zavrsena,Narudžbenica br. 01-3064/21 od 21.10.2021.,Komparativna,Redovna,Drager,PRIMUS,ARTL-0074,DA,DA,DA,DA,DA,Volumen,"200,00","191,00","4,50","10,00",DA,"300,00","286,00","4,67","10,00",DA,"400,00","392,00","2,00","10,00",DA,"500,00","499,00","0,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,94","0,06","1,00",DA,"2,00","1,87","0,13","1,00",DA,"3,00","2,75","0,25","1,00",DA,"4,00","3,66","0,34","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3205/21,3205/VL/21,6.10.2021.,Zavrsena,Narudžbenica br. 01-3064/21 od 21.10.2021.,Komparativna,Redovna,GE,CARESTATION 620,SM618300090WA,DA,DA,DA,DA,DA,Volumen,"200,00","186,00","7,00","10,00",DA,"300,00","279,00","7,00","10,00",DA,"400,00","392,00","2,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,12","0,12","1,00",DA,"2,00","2,08","0,08","1,00",DA,"3,00","3,09","0,09","1,00",DA,"4,00","3,46","0,54","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3206/21,3206/VL/21,6.10.2021.,Zavrsena,Narudžbenica br. 01-3064/21 od 21.10.2021.,Komparativna,Redovna,GE Datex Ohmeda,Aespire,ANCN01307,DA,DA,DA,DA,DA,Volumen,"200,00","187,00","6,50","10,00",DA,"300,00","295,00","1,67","10,00",DA,"400,00","366,00","8,50","10,00",DA,"500,00","457,00","8,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,91","0,09","1,00",DA,"2,00","1,82","0,18","1,00",DA,"3,00","2,94","0,06","1,00",DA,"4,00","3,04","0,96","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3207/21,3207/VL/21,6.10.2021.,Zavrsena,Narudžbenica br. 01-3064/21 od 21.10.2021.,Komparativna,Redovna,Heinen Lowenstein,LEON PLUS,0200010HUL00200612,DA,DA,DA,DA,DA,Volumen,"300,00","304,00","1,33","10,00",DA,"400,00","364,00","9,00","10,00",DA,"500,00","459,00","8,20","10,00",DA,"600,00","552,00","8,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,85","0,15","1,00",DA,"2,00","1,87","0,13","1,00",DA,"3,00","2,68","0,32","1,00",DA,"4,00","3,43","0,57","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3143/21,3143/VL/21,1.10.2021.,Zavrsena,Narudžbenica od 29.09.2021.,Komparativna,Redovna,MEDEC BENELUX,Neptune,011158,DA,DA,DA,DA,DA,Volumen,200,NIJE MJERENO,NIJE MJERENO,"10,00",DA,"300,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"500,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"500,00",NIJE MJERENO,NIJE MJERENO,"10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,52","0,48","1,00",DA,"2,00","1,62","0,38","1,00",DA,"3,00","2,52","0,48","1,00",DA,"4,00","3,51","0,49","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3075/21,3075/VL/21,14.9.2021.,Zavrsena,Ugovor br. 5303/21 od 07.09.2021.,Komparativna,Redovna,MEDEC BENELUX,NEPTUNE,43814,DA,DA,DA,DA,DA,Volumen,"200,00","181,00","9,50","10,00",DA,"300,00","296,00","1,33","10,00",DA,"400,00","393,00","1,75","10,00",DA,"500,00","490,00","2,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,90","0,10","1,00",DA,"2,00","1,70","0,30","1,00",DA,"3,00","3,04","0,04","1,00",DA,"4,00","3,37","0,63","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3051/21,3051/VL/21,11.9.2021.,Zavrsena,Narudžbenica od 07.09.2021.,Komparativna,Redovna,GE,DATEX OHMEDA AESPIRE,AMXL01229,DA,DA,DA,DA,DA,Volumen,"200,00","219,00","9,50","10,00",DA,"300,00","278,00","7,33","10,00",DA,"400,00","391,00","2,25","10,00",DA,"500,00","536,00","7,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,12","0,12","1,00",DA,"2,00","1,98","0,02","1,00",DA,"3,00","2,60","0,40","1,00",DA,"4,00","3,49","0,51","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
3002/21,3002/VL/21,8.9.2021.,Zavrsena,Narudžbenica od 06.09.2021.,Komparativna,Prva,Datex Ohmeda,S/5 AESPIRE,ANCL00199,DA,DA,DA,DA,DA,Volumen,"200,00","204,00","2,00","10,00",DA,"300,00","304,00","1,33","10,00",DA,"400,00","409,00","2,25","10,00",DA,"500,00","511,00","2,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,82","0,18","1,00",DA,"2,00","1,74","0,26","1,00",DA,"3,00","2,70","0,30","1,00",DA,"4,00","3,58","0,42","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
2793/21,2793/VL/21,17.8.2021.,Zavrsena,Narudžbenica od 13.08.2021.,Komparativna,Redovna,Drager,FABIUS,ARSF-0076,DA,DA,DA,DA,DA,Volumen,"200,00","190,00","5,00","10,00",DA,"300,00","286,00","4,67","10,00",DA,"400,00","391,00","2,25","10,00",DA,"500,00","470,00","6,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,83","0,17","1,00",DA,"2,00","1,90","0,10","1,00",DA,"3,00","2,79","0,21","1,00",DA,"4,00","4,11","0,11","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
2782/21,2782/VL/21,17.8.2021.,Zavrsena,Narudžbenica od 04.08.2021.,Komparativna,Redovna,Drager,Fabius,ARWF-0106,DA,DA,DA,DA,DA,Volumen,"200,00","195,00","2,50","10,00",DA,"300,00","290,00","3,33","10,00",DA,"400,00","389,00","2,75","10,00",DA,"500,00","478,00","4,40","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,97","0,03","1,00",DA,"2,00","2,15","0,15","1,00",DA,"3,00","2,89","0,11","1,00",DA,"4,00","3,81","0,19","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
